-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  50.854   Longitude 4.3484 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 76.01 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
50.85401,4.34841,1983,07,12,   28.78,   15.92,   22.55,   12.87
50.85401,4.34841,1983,07,13,   22.70,   13.27,   18.25,    9.43
50.85401,4.34841,1983,07,14,   21.76,   10.63,   16.54,   11.13
50.85401,4.34841,1983,07,15,   26.53,   12.63,   20.56,   13.90
50.85401,4.34841,1983,07,16,   28.19,   17.07,   22.88,   11.13
50.85401,4.34841,1983,07,17,   27.84,   18.24,   22.62,    9.60
50.85401,4.34841,1983,07,18,   24.66,   16.99,   20.31,    7.67
50.85401,4.34841,1983,07,19,   24.27,   15.23,   20.01,    9.04
50.85401,4.34841,1983,07,20,   20.52,   10.57,   16.21,    9.95
50.85401,4.34841,1983,07,21,   20.29,    8.99,   14.98,   11.30
50.85401,4.34841,1983,07,22,   24.82,   11.28,   18.84,   13.54
50.85401,4.34841,1983,07,23,   23.76,   15.21,   19.71,    8.56
50.85401,4.34841,1983,07,24,   23.59,   16.56,   20.16,    7.03
50.85401,4.34841,1983,07,25,   25.63,   14.71,   20.92,   10.92
50.85401,4.34841,1983,07,26,   26.56,   18.12,   22.00,    8.43
50.85401,4.34841,1983,07,27,   24.35,   18.24,   21.26,    6.11
50.85401,4.34841,1983,07,28,   23.13,   14.86,   19.20,    8.27
50.85401,4.34841,1983,07,29,   23.44,   13.27,   18.44,   10.17
50.85401,4.34841,1983,07,30,   25.70,   15.58,   20.55,   10.12
50.85401,4.34841,1983,07,31,   29.48,   17.00,   23.20,   12.48
50.85401,4.34841,1983,08,01,   22.03,   12.61,   19.00,    9.42
50.85401,4.34841,1983,08,02,   17.23,   10.32,   13.73,    6.92
50.85401,4.34841,1983,08,03,   19.25,    9.59,   14.20,    9.66
50.85401,4.34841,1983,08,04,   20.67,    8.52,   15.39,   12.14
50.85401,4.34841,1983,08,05,   20.17,   12.26,   16.16,    7.91
50.85401,4.34841,1983,08,06,   18.39,   11.69,   14.91,    6.70
50.85401,4.34841,1983,08,07,   21.01,   12.94,   16.99,    8.07
50.85401,4.34841,1983,08,08,   24.27,   12.33,   19.00,   11.94
50.85401,4.34841,1983,08,09,   26.27,   15.21,   20.92,   11.06
50.85401,4.34841,1983,08,10,   26.19,   15.54,   20.78,   10.65
50.85401,4.34841,1983,08,11,   24.34,   13.50,   18.70,   10.84
50.85401,4.34841,1983,08,12,   22.15,   11.10,   16.73,   11.05
50.85401,4.34841,1983,08,13,   18.40,   10.91,   14.98,    7.48
50.85401,4.34841,1983,08,14,   19.89,   10.72,   15.57,    9.17
50.85401,4.34841,1983,08,15,   22.38,   10.09,   17.01,   12.30
50.85401,4.34841,1983,08,16,   23.60,   13.32,   18.45,   10.28
50.85401,4.34841,1983,08,17,   22.57,   13.34,   18.00,    9.23
50.85401,4.34841,1983,08,18,   25.26,   14.30,   19.65,   10.96
50.85401,4.34841,1983,08,19,   27.73,   14.61,   21.32,   13.12
50.85401,4.34841,1983,08,20,   23.88,   17.10,   20.67,    6.78
50.85401,4.34841,1983,08,21,   23.19,   15.11,   18.94,    8.08
50.85401,4.34841,1983,08,22,   24.05,   13.74,   19.30,   10.30
50.85401,4.34841,1983,08,23,   25.03,   16.22,   20.43,    8.81
50.85401,4.34841,1983,08,24,   23.51,   15.19,   19.30,    8.32
50.85401,4.34841,1983,08,25,   25.34,   15.05,   20.20,   10.29
50.85401,4.34841,1983,08,26,   24.91,   15.35,   19.88,    9.56
50.85401,4.34841,1983,08,27,   22.96,   12.62,   17.52,   10.34
50.85401,4.34841,1983,08,28,   21.87,   12.81,   16.85,    9.07
50.85401,4.34841,1983,08,29,   19.50,   11.43,   15.00,    8.07
50.85401,4.34841,1983,08,30,   23.75,    9.77,   16.71,   13.98
50.85401,4.34841,1983,08,31,   25.98,   11.94,   19.43,   14.04
50.85401,4.34841,1983,09,01,   21.78,   14.28,   18.64,    7.51
50.85401,4.34841,1983,09,02,   18.90,   13.03,   16.25,    5.87
50.85401,4.34841,1983,09,03,   15.76,   12.31,   14.22,    3.45
50.85401,4.34841,1983,09,04,   18.20,   10.85,   14.64,    7.35
50.85401,4.34841,1983,09,05,   18.70,   10.51,   15.06,    8.19
50.85401,4.34841,1983,09,06,   18.05,    8.94,   13.04,    9.11
50.85401,4.34841,1983,09,07,   16.86,    6.64,   11.79,   10.22
50.85401,4.34841,1983,09,08,   16.91,    7.93,   13.05,    8.98
50.85401,4.34841,1983,09,09,   17.69,   13.94,   15.48,    3.75
50.85401,4.34841,1983,09,10,   16.57,   11.79,   14.59,    4.77
50.85401,4.34841,1983,09,11,   12.37,    8.97,   11.06,    3.40
50.85401,4.34841,1983,09,12,   12.57,    9.13,   10.63,    3.44
50.85401,4.34841,1983,09,13,   14.45,    8.26,   11.44,    6.19
50.85401,4.34841,1983,09,14,   18.67,   12.34,   14.75,    6.33
50.85401,4.34841,1983,09,15,   19.98,   12.29,   15.68,    7.69
50.85401,4.34841,1983,09,16,   15.10,    9.99,   12.60,    5.11
50.85401,4.34841,1983,09,17,   15.94,    8.86,   12.33,    7.07
50.85401,4.34841,1983,09,18,   17.31,    9.26,   13.24,    8.05
50.85401,4.34841,1983,09,19,   17.78,    9.96,   13.83,    7.83
50.85401,4.34841,1983,09,20,   16.69,    8.80,   12.35,    7.88
50.85401,4.34841,1983,09,21,   16.79,    9.40,   13.98,    7.39
50.85401,4.34841,1983,09,22,   16.94,    8.43,   12.71,    8.51
50.85401,4.34841,1983,09,23,   20.87,    6.65,   13.86,   14.22
50.85401,4.34841,1983,09,24,   24.40,   11.38,   17.00,   13.02
50.85401,4.34841,1983,09,25,   16.54,    8.61,   12.18,    7.93
