-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2009 through 12/31/2020 
Location: Latitude  50.2596   Longitude 4.9519 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 213.65 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS50M,PRECTOT,RH2M
50.25961,4.95191,2009,03,30,   11.98,   10.13,   -1.86,    3.75,    3.10,    0.00,   73.74
50.25961,4.95191,2009,03,31,   13.92,   12.64,   -1.28,    5.56,    6.27,    0.00,   74.50
50.25961,4.95191,2009,04,01,   13.99,   14.08,    0.09,    7.00,    8.75,    0.00,   77.39
50.25961,4.95191,2009,04,02,   14.21,   17.47,    3.25,   10.32,    6.02,    0.00,   84.79
50.25961,4.95191,2009,04,03,   10.89,   18.98,    8.09,   13.08,    2.85,    0.13,   84.06
50.25961,4.95191,2009,04,04,    8.84,   14.58,    5.74,   10.23,    4.70,    0.32,   88.07
50.25961,4.95191,2009,04,05,   10.82,   15.70,    4.88,    9.92,    2.46,    0.09,   80.75
50.25961,4.95191,2009,04,06,   11.85,   17.67,    5.82,   11.80,    6.57,    0.01,   81.57
50.25961,4.95191,2009,04,07,    6.63,   12.38,    5.75,    9.26,    5.61,    2.70,   89.31
50.25961,4.95191,2009,04,08,    4.87,    9.79,    4.92,    8.16,    9.82,    3.02,   91.27
50.25961,4.95191,2009,04,09,    8.09,   17.04,    8.95,   12.45,    7.15,    1.04,   85.68
50.25961,4.95191,2009,04,10,   10.49,   19.85,    9.36,   14.15,    8.56,    0.25,   78.38
50.25961,4.95191,2009,04,11,    7.07,   17.30,   10.22,   13.09,    5.18,    2.97,   81.94
50.25961,4.95191,2009,04,12,   10.58,   18.78,    8.20,   12.71,    5.22,    0.54,   86.63
50.25961,4.95191,2009,04,13,    9.66,   16.79,    7.13,   10.74,    4.30,    0.12,   89.16
50.25961,4.95191,2009,04,14,   13.03,   19.56,    6.53,   12.92,    5.23,    0.55,   84.41
50.25961,4.95191,2009,04,15,   11.70,   20.76,    9.06,   14.79,    6.22,    1.47,   73.69
50.25961,4.95191,2009,04,16,    4.54,   12.80,    8.27,   10.61,    4.57,    8.85,   88.69
50.25961,4.95191,2009,04,17,    3.52,   10.98,    7.46,    8.82,    6.57,   14.21,   93.58
50.25961,4.95191,2009,04,18,    7.54,   14.06,    6.52,    9.97,    4.79,    2.13,   86.43
50.25961,4.95191,2009,04,19,    9.74,   16.36,    6.62,   10.91,    4.26,    0.52,   80.14
50.25961,4.95191,2009,04,20,   12.42,   17.98,    5.56,   11.79,    5.71,    0.05,   80.18
50.25961,4.95191,2009,04,21,   12.20,   17.91,    5.71,   11.26,    5.66,    0.22,   78.62
50.25961,4.95191,2009,04,22,   11.15,   14.59,    3.44,    8.88,    5.23,    0.02,   79.22
50.25961,4.95191,2009,04,23,   13.38,   14.50,    1.12,    7.89,    4.75,    0.01,   78.91
50.25961,4.95191,2009,04,24,   12.53,   15.82,    3.28,    9.61,    7.59,    0.00,   75.17
50.25961,4.95191,2009,04,25,    7.36,   12.34,    4.98,    9.24,    7.37,    2.28,   89.61
50.25961,4.95191,2009,04,26,    7.06,   14.77,    7.72,   11.11,    3.25,    9.19,   89.38
50.25961,4.95191,2009,04,27,    6.21,   13.53,    7.32,   10.02,    8.81,    2.44,   80.66
50.25961,4.95191,2009,04,28,    6.91,   11.20,    4.29,    7.74,    5.34,    3.43,   83.77
50.25961,4.95191,2009,04,29,    8.94,   12.43,    3.49,    8.70,    3.02,    0.97,   82.27
50.25961,4.95191,2009,04,30,   11.80,   16.73,    4.93,   11.39,    2.10,    0.07,   73.70
50.25961,4.95191,2009,05,01,   11.68,   18.81,    7.13,   13.04,    3.27,    0.08,   76.26
50.25961,4.95191,2009,05,02,   10.76,   17.14,    6.38,   11.76,    3.39,    0.30,   85.10
50.25961,4.95191,2009,05,03,    8.15,   13.82,    5.67,    9.99,    4.87,    0.33,   84.33
50.25961,4.95191,2009,05,04,    8.87,   12.54,    3.68,    8.25,    3.95,    0.02,   73.25
50.25961,4.95191,2009,05,05,    8.92,   14.08,    5.16,    9.96,    7.25,    2.02,   90.91
50.25961,4.95191,2009,05,06,    7.05,   14.23,    7.19,   10.67,    8.03,    0.36,   87.62
50.25961,4.95191,2009,05,07,   13.04,   19.19,    6.15,   13.21,    6.24,    0.48,   81.37
50.25961,4.95191,2009,05,08,   11.63,   16.38,    4.74,   11.17,    7.10,    1.27,   82.16
50.25961,4.95191,2009,05,09,   11.61,   15.10,    3.49,    9.75,    3.39,    7.86,   85.48
50.25961,4.95191,2009,05,10,   13.56,   19.68,    6.12,   13.71,    3.95,    3.86,   78.28
50.25961,4.95191,2009,05,11,    5.95,   15.34,    9.39,   12.60,    8.81,    9.87,   86.53
50.25961,4.95191,2009,05,12,    5.70,   13.42,    7.72,   10.63,    9.02,   12.17,   90.88
50.25961,4.95191,2009,05,13,   10.51,   19.43,    8.92,   14.20,    4.91,    2.00,   88.57
50.25961,4.95191,2009,05,14,    9.20,   19.60,   10.40,   15.21,    2.24,    7.68,   85.67
50.25961,4.95191,2009,05,15,    9.42,   15.94,    6.52,   12.46,    6.48,    6.19,   89.08
50.25961,4.95191,2009,05,16,   10.17,   15.55,    5.38,   11.25,    8.21,    1.14,   82.11
50.25961,4.95191,2009,05,17,    6.26,   15.46,    9.20,   11.97,    5.78,   11.47,   83.88
50.25961,4.95191,2009,05,18,    8.37,   16.45,    8.08,   12.02,    7.40,    0.12,   77.44
50.25961,4.95191,2009,05,19,   11.56,   18.56,    7.00,   13.45,    5.05,    0.88,   78.72
50.25961,4.95191,2009,05,20,   10.38,   20.18,    9.79,   15.64,    2.08,    0.07,   73.07
50.25961,4.95191,2009,05,21,    9.05,   19.71,   10.66,   15.70,    3.43,    0.18,   77.98
50.25961,4.95191,2009,05,22,    9.20,   17.18,    7.98,   12.63,    4.82,    0.04,   74.07
50.25961,4.95191,2009,05,23,   15.12,   21.58,    6.46,   15.03,    4.51,    0.89,   74.11
50.25961,4.95191,2009,05,24,   11.23,   24.23,   12.99,   18.83,    3.31,    0.00,   74.32
50.25961,4.95191,2009,05,25,   12.86,   26.23,   13.37,   20.15,    5.82,    1.16,   82.61
50.25961,4.95191,2009,05,26,   10.94,   18.79,    7.85,   14.96,    9.51,    6.57,   86.67
50.25961,4.95191,2009,05,27,    7.66,   14.52,    6.86,   10.84,    7.67,    1.10,   79.25
50.25961,4.95191,2009,05,28,    9.09,   18.84,    9.76,   14.21,    6.43,    1.36,   86.14
50.25961,4.95191,2009,05,29,   10.61,   18.59,    7.99,   13.59,    6.97,    0.01,   68.29
50.25961,4.95191,2009,05,30,   12.90,   19.96,    7.06,   14.17,    7.61,    0.00,   69.64
50.25961,4.95191,2009,05,31,   11.65,   20.54,    8.89,   15.49,    6.32,    0.02,   78.13
50.25961,4.95191,2009,06,01,   12.59,   22.80,   10.21,   17.15,    7.15,    0.08,   74.92
50.25961,4.95191,2009,06,02,   12.01,   20.96,    8.96,   15.14,    6.82,    0.03,   74.15
50.25961,4.95191,2009,06,03,   10.38,   17.65,    7.26,   12.57,    6.67,    0.03,   74.92
50.25961,4.95191,2009,06,04,    9.70,   14.78,    5.08,   10.11,    5.18,    0.15,   73.33
50.25961,4.95191,2009,06,05,   11.68,   15.16,    3.47,   10.02,    4.11,    0.09,   74.91
50.25961,4.95191,2009,06,06,    6.39,   12.26,    5.87,    9.05,    5.68,    1.69,   83.19
50.25961,4.95191,2009,06,07,    9.62,   15.11,    5.50,   11.20,    6.53,    2.85,   78.46
50.25961,4.95191,2009,06,08,    9.64,   16.79,    7.15,   12.48,    5.81,    4.33,   80.04
50.25961,4.95191,2009,06,09,    7.04,   17.74,   10.70,   14.20,    9.28,    5.75,   85.09
50.25961,4.95191,2009,06,10,    6.56,   16.59,   10.03,   13.58,    6.96,   13.43,   86.24
50.25961,4.95191,2009,06,11,    7.96,   16.56,    8.60,   12.91,    9.62,    5.25,   82.22
50.25961,4.95191,2009,06,12,   12.61,   18.82,    6.21,   13.29,    5.30,    0.19,   74.91
50.25961,4.95191,2009,06,13,   13.01,   21.60,    8.59,   16.37,    2.63,    0.00,   69.73
50.25961,4.95191,2009,06,14,   10.24,   23.09,   12.85,   18.29,    4.98,    2.05,   79.91
50.25961,4.95191,2009,06,15,    5.21,   16.40,   11.19,   14.05,    4.98,   15.38,   90.81
50.25961,4.95191,2009,06,16,    7.26,   17.97,   10.71,   14.45,    5.66,    1.81,   78.77
50.25961,4.95191,2009,06,17,   13.37,   21.53,    8.15,   16.10,    5.53,    0.00,   76.97
50.25961,4.95191,2009,06,18,   10.31,   20.92,   10.61,   16.27,    5.82,    0.19,   79.08
50.25961,4.95191,2009,06,19,    7.75,   17.70,    9.95,   13.54,    6.23,    0.05,   75.70
50.25961,4.95191,2009,06,20,    8.33,   16.81,    8.48,   12.61,    4.85,    0.90,   78.14
50.25961,4.95191,2009,06,21,    7.67,   15.30,    7.62,   11.68,    5.75,    3.22,   87.73
50.25961,4.95191,2009,06,22,   11.34,   17.61,    6.27,   12.53,    5.51,    0.04,   75.82
50.25961,4.95191,2009,06,23,   12.64,   20.09,    7.44,   14.72,    7.16,    0.02,   75.54
50.25961,4.95191,2009,06,24,   11.69,   21.89,   10.20,   16.49,    8.17,    0.01,   71.00
50.25961,4.95191,2009,06,25,    9.76,   23.20,   13.44,   18.76,    5.41,    1.30,   78.12
50.25961,4.95191,2009,06,26,   10.76,   24.89,   14.14,   19.62,    3.75,    7.34,   78.70
50.25961,4.95191,2009,06,27,    9.21,   22.53,   13.32,   18.55,    3.74,    3.59,   83.21
50.25961,4.95191,2009,06,28,   10.38,   23.66,   13.28,   19.24,    2.79,    0.57,   81.77
50.25961,4.95191,2009,06,29,   10.23,   25.18,   14.95,   20.36,    3.71,    0.47,   77.63
50.25961,4.95191,2009,06,30,   11.87,   25.71,   13.84,   20.41,    4.50,    0.02,   77.51
50.25961,4.95191,2009,07,01,   11.55,   25.73,   14.18,   20.75,    4.69,    0.04,   77.77
50.25961,4.95191,2009,07,02,   11.65,   27.53,   15.88,   22.43,    4.27,    0.76,   75.59
50.25961,4.95191,2009,07,03,   10.10,   24.37,   14.27,   20.22,    5.32,    1.76,   82.43
50.25961,4.95191,2009,07,04,   11.66,   23.98,   12.32,   19.28,    2.23,    0.01,   71.28
50.25961,4.95191,2009,07,05,    8.73,   23.40,   14.67,   19.48,    4.10,    4.55,   77.87
50.25961,4.95191,2009,07,06,    8.18,   21.27,   13.09,   17.01,    5.40,    1.46,   78.66
50.25961,4.95191,2009,07,07,    6.28,   18.38,   12.09,   15.17,    8.58,    4.07,   79.94
50.25961,4.95191,2009,07,08,    5.81,   17.90,   12.08,   14.72,    7.89,    6.10,   84.16
50.25961,4.95191,2009,07,09,    6.60,   16.33,    9.73,   13.43,    5.52,    2.53,   82.99
50.25961,4.95191,2009,07,10,    8.22,   17.09,    8.87,   13.38,    7.07,    0.60,   79.20
50.25961,4.95191,2009,07,11,    9.15,   19.12,    9.97,   15.20,    5.98,    1.88,   84.34
50.25961,4.95191,2009,07,12,    8.93,   21.19,   12.25,   17.26,    6.85,    4.40,   85.66
50.25961,4.95191,2009,07,13,   12.12,   22.76,   10.63,   17.32,    4.51,    1.34,   78.90
50.25961,4.95191,2009,07,14,    9.51,   22.93,   13.42,   18.57,    6.32,    0.21,   77.31
50.25961,4.95191,2009,07,15,    8.78,   22.54,   13.76,   18.30,    6.75,    0.10,   72.41
50.25961,4.95191,2009,07,16,   11.45,   25.03,   13.58,   20.15,    4.61,    0.02,   66.86
50.25961,4.95191,2009,07,17,    6.54,   19.15,   12.61,   16.94,    9.07,    6.04,   76.34
50.25961,4.95191,2009,07,18,    7.16,   19.15,   11.99,   15.30,    9.49,    2.29,   77.37
50.25961,4.95191,2009,07,19,    6.10,   18.93,   12.83,   15.72,    8.60,    4.10,   78.78
50.25961,4.95191,2009,07,20,    7.27,   19.53,   12.26,   16.26,    6.02,    0.72,   75.12
50.25961,4.95191,2009,07,21,   12.55,   25.90,   13.36,   20.44,    7.15,    1.43,   79.91
50.25961,4.95191,2009,07,22,    7.19,   24.69,   17.50,   20.41,    6.98,    6.15,   82.75
50.25961,4.95191,2009,07,23,    5.31,   20.03,   14.72,   18.04,    5.55,   10.24,   87.16
50.25961,4.95191,2009,07,24,    7.69,   20.25,   12.56,   15.97,    7.51,    4.17,   80.90
50.25961,4.95191,2009,07,25,    7.84,   19.25,   11.41,   15.48,    6.12,    1.03,   79.73
50.25961,4.95191,2009,07,26,   12.67,   22.57,    9.90,   17.31,    5.20,    0.01,   72.32
50.25961,4.95191,2009,07,27,   14.09,   24.49,   10.40,   17.17,    7.09,    5.66,   76.98
50.25961,4.95191,2009,07,28,   11.54,   21.00,    9.46,   15.95,    5.20,    0.03,   73.89
50.25961,4.95191,2009,07,29,   10.05,   23.26,   13.21,   18.60,    6.18,    1.03,   73.01
50.25961,4.95191,2009,07,30,    8.57,   19.00,   10.43,   15.11,    8.35,    0.16,   75.17
50.25961,4.95191,2009,07,31,   11.16,   21.44,   10.28,   15.84,    2.65,    0.04,   67.53
50.25961,4.95191,2009,08,01,   12.89,   24.78,   11.89,   18.81,    5.67,    2.40,   67.38
50.25961,4.95191,2009,08,02,    4.50,   18.01,   13.50,   16.40,    4.30,   15.86,   87.91
50.25961,4.95191,2009,08,03,    8.08,   19.68,   11.60,   15.91,    1.49,    0.15,   70.55
50.25961,4.95191,2009,08,04,   12.57,   23.25,   10.68,   17.57,    3.68,    0.01,   64.61
50.25961,4.95191,2009,08,05,   13.17,   25.29,   12.13,   19.08,    5.25,    0.02,   61.52
50.25961,4.95191,2009,08,06,   12.56,   27.14,   14.58,   21.17,    4.89,    0.01,   62.66
50.25961,4.95191,2009,08,07,    9.23,   24.93,   15.69,   19.83,    4.17,    3.05,   78.95
50.25961,4.95191,2009,08,08,    8.30,   22.44,   14.14,   18.18,    4.87,    0.83,   82.61
50.25961,4.95191,2009,08,09,    9.06,   21.77,   12.71,   17.59,    3.60,    0.31,   81.35
50.25961,4.95191,2009,08,10,   11.09,   23.73,   12.64,   18.67,    3.42,    0.49,   71.23
50.25961,4.95191,2009,08,11,    8.83,   21.81,   12.98,   17.65,    5.40,    1.92,   85.56
50.25961,4.95191,2009,08,12,   12.06,   23.87,   11.81,   18.20,    6.55,    1.80,   83.52
50.25961,4.95191,2009,08,13,    7.48,   19.50,   12.02,   16.71,    4.18,   11.61,   89.42
50.25961,4.95191,2009,08,14,   11.20,   21.32,   10.12,   16.15,    2.22,    0.00,   69.91
50.25961,4.95191,2009,08,15,   14.09,   25.90,   11.81,   19.27,    5.71,    0.01,   65.93
50.25961,4.95191,2009,08,16,   11.06,   24.89,   13.83,   19.10,    3.26,    0.06,   78.27
50.25961,4.95191,2009,08,17,   10.02,   22.48,   12.46,   17.33,    4.44,    0.07,   80.80
50.25961,4.95191,2009,08,18,   14.43,   24.91,   10.48,   18.45,    2.63,    0.01,   68.20
50.25961,4.95191,2009,08,19,   16.04,   29.15,   13.11,   21.78,    5.68,    0.02,   62.74
50.25961,4.95191,2009,08,20,   13.26,   29.39,   16.13,   22.52,    7.52,    2.04,   72.46
50.25961,4.95191,2009,08,21,    8.54,   21.09,   12.54,   16.58,    4.82,    0.57,   72.29
