-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  50.2596   Longitude 4.9519 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 213.65 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
50.25961,4.95191,1983,04,05,    5.73,    0.90,    3.63,    4.83
50.25961,4.95191,1983,04,06,    7.46,    2.48,    4.45,    4.98
50.25961,4.95191,1983,04,07,    8.58,    2.16,    4.78,    6.41
50.25961,4.95191,1983,04,08,   11.55,    3.22,    7.02,    8.34
50.25961,4.95191,1983,04,09,    8.82,    2.75,    5.68,    6.07
50.25961,4.95191,1983,04,10,   13.60,    4.81,    9.65,    8.79
50.25961,4.95191,1983,04,11,    8.93,    4.53,    7.19,    4.40
50.25961,4.95191,1983,04,12,    6.14,    2.08,    3.67,    4.06
50.25961,4.95191,1983,04,13,    7.02,    1.73,    4.14,    5.29
50.25961,4.95191,1983,04,14,    8.06,    1.74,    4.22,    6.32
50.25961,4.95191,1983,04,15,   13.26,    3.21,    7.15,   10.05
50.25961,4.95191,1983,04,16,   16.13,    1.60,    9.55,   14.53
50.25961,4.95191,1983,04,17,   14.72,    7.86,   11.02,    6.86
50.25961,4.95191,1983,04,18,   16.46,    6.92,   11.86,    9.54
50.25961,4.95191,1983,04,19,   10.90,    4.31,    8.28,    6.58
50.25961,4.95191,1983,04,20,   15.11,    3.31,    9.77,   11.80
50.25961,4.95191,1983,04,21,   12.25,    5.52,    8.69,    6.72
50.25961,4.95191,1983,04,22,   14.73,    4.80,    9.80,    9.92
50.25961,4.95191,1983,04,23,   11.96,    6.60,    9.34,    5.37
50.25961,4.95191,1983,04,24,   14.59,    5.73,    9.74,    8.86
50.25961,4.95191,1983,04,25,   13.64,    6.01,    9.68,    7.63
50.25961,4.95191,1983,04,26,   13.11,    4.64,    9.06,    8.47
50.25961,4.95191,1983,04,27,   13.38,    6.95,    9.80,    6.42
50.25961,4.95191,1983,04,28,   13.43,    6.57,    9.66,    6.86
50.25961,4.95191,1983,04,29,   13.20,    6.60,    9.84,    6.60
50.25961,4.95191,1983,04,30,   16.07,    5.06,   11.39,   11.01
50.25961,4.95191,1983,05,01,   13.40,    6.41,   10.36,    6.99
50.25961,4.95191,1983,05,02,   10.78,    5.83,    7.75,    4.95
50.25961,4.95191,1983,05,03,   11.26,    4.63,    7.70,    6.63
50.25961,4.95191,1983,05,04,   13.08,    5.02,    9.07,    8.07
50.25961,4.95191,1983,05,05,   16.27,    4.56,   11.15,   11.70
50.25961,4.95191,1983,05,06,   17.32,    8.58,   12.52,    8.74
50.25961,4.95191,1983,05,07,   15.30,    8.71,   11.93,    6.59
50.25961,4.95191,1983,05,08,   12.97,    7.58,   10.17,    5.39
50.25961,4.95191,1983,05,09,   13.77,    6.30,    9.77,    7.47
50.25961,4.95191,1983,05,10,    9.91,    4.41,    7.27,    5.50
50.25961,4.95191,1983,05,11,    9.18,    5.03,    7.27,    4.16
50.25961,4.95191,1983,05,12,   12.70,    6.78,    9.17,    5.91
50.25961,4.95191,1983,05,13,   13.45,    6.26,    9.70,    7.19
50.25961,4.95191,1983,05,14,   15.59,    6.53,   10.47,    9.06
50.25961,4.95191,1983,05,15,   15.92,    6.64,   11.47,    9.28
50.25961,4.95191,1983,05,16,   15.58,    8.17,   11.88,    7.41
50.25961,4.95191,1983,05,17,   12.18,    7.31,    9.80,    4.87
50.25961,4.95191,1983,05,18,   13.55,    6.88,   10.35,    6.67
50.25961,4.95191,1983,05,19,   13.64,    7.85,   10.42,    5.79
50.25961,4.95191,1983,05,20,   13.81,    6.39,   10.27,    7.42
50.25961,4.95191,1983,05,21,   10.58,    5.29,    8.13,    5.29
50.25961,4.95191,1983,05,22,   13.88,    5.11,    9.78,    8.77
50.25961,4.95191,1983,05,23,   14.24,    5.05,   10.17,    9.19
50.25961,4.95191,1983,05,24,   11.11,    7.22,    8.92,    3.90
50.25961,4.95191,1983,05,25,    9.66,    6.65,    8.03,    3.02
50.25961,4.95191,1983,05,26,   10.85,    5.04,    7.83,    5.81
50.25961,4.95191,1983,05,27,   11.71,    4.36,    8.14,    7.36
50.25961,4.95191,1983,05,28,   10.88,    5.37,    7.83,    5.50
50.25961,4.95191,1983,05,29,   12.22,    5.92,    8.84,    6.30
50.25961,4.95191,1983,05,30,   15.47,    5.99,   10.95,    9.48
50.25961,4.95191,1983,05,31,   20.34,    8.26,   14.92,   12.08
50.25961,4.95191,1983,06,01,   21.09,   13.69,   16.12,    7.40
50.25961,4.95191,1983,06,02,   16.51,   10.33,   13.82,    6.18
50.25961,4.95191,1983,06,03,   20.98,    8.96,   16.38,   12.01
50.25961,4.95191,1983,06,04,   23.67,   13.83,   18.71,    9.84
50.25961,4.95191,1983,06,05,   20.38,   13.16,   16.46,    7.22
50.25961,4.95191,1983,06,06,   19.95,   10.78,   15.26,    9.17
50.25961,4.95191,1983,06,07,   22.38,    8.90,   16.33,   13.47
50.25961,4.95191,1983,06,08,   25.76,   12.81,   19.03,   12.95
50.25961,4.95191,1983,06,09,   18.61,   10.37,   15.60,    8.24
50.25961,4.95191,1983,06,10,   17.37,    8.39,   13.32,    8.98
50.25961,4.95191,1983,06,11,   18.03,    8.42,   13.97,    9.61
50.25961,4.95191,1983,06,12,   20.37,   10.26,   16.10,   10.10
50.25961,4.95191,1983,06,13,   18.16,   10.14,   14.30,    8.01
50.25961,4.95191,1983,06,14,   17.36,    8.87,   13.10,    8.49
50.25961,4.95191,1983,06,15,   15.15,    5.27,   11.03,    9.87
50.25961,4.95191,1983,06,16,   14.63,    3.39,    9.88,   11.25
50.25961,4.95191,1983,06,17,   14.75,    4.76,   10.21,    9.99
50.25961,4.95191,1983,06,18,   15.62,    6.37,   11.53,    9.25
50.25961,4.95191,1983,06,19,   20.16,    9.66,   15.23,   10.50
50.25961,4.95191,1983,06,20,   22.40,    9.74,   16.83,   12.66
50.25961,4.95191,1983,06,21,   22.92,   12.69,   18.30,   10.23
50.25961,4.95191,1983,06,22,   23.81,   14.71,   19.84,    9.10
50.25961,4.95191,1983,06,23,   23.34,   15.74,   19.73,    7.59
50.25961,4.95191,1983,06,24,   23.07,   15.48,   19.45,    7.59
50.25961,4.95191,1983,06,25,   22.28,   14.02,   18.90,    8.27
50.25961,4.95191,1983,06,26,   21.51,   14.78,   18.36,    6.73
50.25961,4.95191,1983,06,27,   18.16,    9.60,   14.60,    8.56
50.25961,4.95191,1983,06,28,   17.42,    6.93,   12.78,   10.49
50.25961,4.95191,1983,06,29,   18.05,    8.31,   13.80,    9.74
50.25961,4.95191,1983,06,30,   15.93,   11.07,   13.94,    4.85
50.25961,4.95191,1983,07,01,   17.28,    8.13,   13.62,    9.15
50.25961,4.95191,1983,07,02,   20.32,    9.26,   15.84,   11.06
50.25961,4.95191,1983,07,03,   22.58,   12.29,   17.81,   10.29
50.25961,4.95191,1983,07,04,   23.49,   11.30,   18.32,   12.20
50.25961,4.95191,1983,07,05,   25.27,   13.75,   20.42,   11.52
50.25961,4.95191,1983,07,06,   24.32,   15.85,   20.08,    8.47
50.25961,4.95191,1983,07,07,   24.21,   16.99,   20.57,    7.22
50.25961,4.95191,1983,07,08,   24.94,   16.53,   20.90,    8.41
50.25961,4.95191,1983,07,09,   26.16,   16.51,   21.63,    9.66
50.25961,4.95191,1983,07,10,   28.29,   16.66,   22.87,   11.63
50.25961,4.95191,1983,07,11,   28.92,   18.59,   23.58,   10.33
50.25961,4.95191,1983,07,12,   27.99,   16.95,   22.49,   11.04
50.25961,4.95191,1983,07,13,   21.92,   14.02,   18.32,    7.90
50.25961,4.95191,1983,07,14,   20.59,   10.53,   15.57,   10.06
50.25961,4.95191,1983,07,15,   26.09,   11.62,   19.98,   14.48
50.25961,4.95191,1983,07,16,   27.85,   17.60,   22.72,   10.25
50.25961,4.95191,1983,07,17,   26.77,   17.51,   22.11,    9.26
50.25961,4.95191,1983,07,18,   23.19,   17.02,   19.95,    6.17
50.25961,4.95191,1983,07,19,   24.10,   15.50,   19.91,    8.60
50.25961,4.95191,1983,07,20,   20.24,   10.56,   16.41,    9.67
50.25961,4.95191,1983,07,21,   19.69,    8.50,   14.41,   11.20
50.25961,4.95191,1983,07,22,   23.89,   10.92,   18.20,   12.97
50.25961,4.95191,1983,07,23,   23.78,   14.99,   19.79,    8.79
50.25961,4.95191,1983,07,24,   23.09,   16.86,   20.06,    6.23
50.25961,4.95191,1983,07,25,   25.65,   14.20,   20.77,   11.46
50.25961,4.95191,1983,07,26,   26.08,   17.86,   21.64,    8.23
50.25961,4.95191,1983,07,27,   24.82,   18.71,   21.61,    6.11
50.25961,4.95191,1983,07,28,   23.39,   15.54,   19.58,    7.85
50.25961,4.95191,1983,07,29,   22.52,   13.15,   17.83,    9.37
50.25961,4.95191,1983,07,30,   26.06,   14.91,   20.38,   11.16
50.25961,4.95191,1983,07,31,   29.02,   16.93,   22.80,   12.09
50.25961,4.95191,1983,08,01,   21.50,   11.68,   18.57,    9.82
50.25961,4.95191,1983,08,02,   16.79,    9.54,   13.38,    7.25
50.25961,4.95191,1983,08,03,   17.89,    8.49,   13.11,    9.41
50.25961,4.95191,1983,08,04,   19.22,    7.11,   14.18,   12.11
50.25961,4.95191,1983,08,05,   19.05,   11.97,   15.40,    7.09
50.25961,4.95191,1983,08,06,   16.78,   10.93,   13.82,    5.85
50.25961,4.95191,1983,08,07,   20.14,   12.08,   15.97,    8.06
50.25961,4.95191,1983,08,08,   23.52,   11.69,   18.23,   11.84
50.25961,4.95191,1983,08,09,   25.63,   14.48,   20.32,   11.14
50.25961,4.95191,1983,08,10,   25.63,   15.04,   20.39,   10.59
50.25961,4.95191,1983,08,11,   23.53,   13.18,   18.36,   10.36
50.25961,4.95191,1983,08,12,   21.64,   11.07,   16.67,   10.57
50.25961,4.95191,1983,08,13,   17.35,    9.52,   14.13,    7.83
50.25961,4.95191,1983,08,14,   18.50,    8.74,   14.05,    9.75
50.25961,4.95191,1983,08,15,   22.21,    8.87,   16.29,   13.34
50.25961,4.95191,1983,08,16,   22.88,   13.06,   18.04,    9.82
50.25961,4.95191,1983,08,17,   22.34,   11.97,   17.22,   10.36
50.25961,4.95191,1983,08,18,   25.20,   13.49,   19.31,   11.70
50.25961,4.95191,1983,08,19,   27.56,   14.83,   21.17,   12.73
50.25961,4.95191,1983,08,20,   23.68,   16.58,   20.10,    7.10
50.25961,4.95191,1983,08,21,   22.71,   14.52,   18.51,    8.19
50.25961,4.95191,1983,08,22,   23.59,   13.09,   18.63,   10.50
50.25961,4.95191,1983,08,23,   24.39,   15.25,   19.77,    9.13
50.25961,4.95191,1983,08,24,   21.92,   15.43,   18.38,    6.48
50.25961,4.95191,1983,08,25,   24.76,   15.04,   19.71,    9.72
50.25961,4.95191,1983,08,26,   24.64,   15.07,   19.52,    9.57
50.25961,4.95191,1983,08,27,   23.45,   13.14,   17.78,   10.31
50.25961,4.95191,1983,08,28,   21.39,   12.71,   16.64,    8.68
50.25961,4.95191,1983,08,29,   19.61,   11.09,   14.95,    8.52
50.25961,4.95191,1983,08,30,   24.20,    9.78,   16.97,   14.41
50.25961,4.95191,1983,08,31,   25.81,   12.41,   19.54,   13.40
50.25961,4.95191,1983,09,01,   21.11,   14.33,   18.05,    6.78
50.25961,4.95191,1983,09,02,   18.50,   12.47,   15.79,    6.04
50.25961,4.95191,1983,09,03,   15.13,   10.68,   13.26,    4.44
50.25961,4.95191,1983,09,04,   17.53,    9.81,   13.48,    7.72
50.25961,4.95191,1983,09,05,   19.08,    9.23,   14.73,    9.85
50.25961,4.95191,1983,09,06,   17.76,    7.77,   12.36,   10.00
50.25961,4.95191,1983,09,07,   16.15,    5.06,   10.71,   11.09
50.25961,4.95191,1983,09,08,   16.84,    6.77,   12.82,   10.07
50.25961,4.95191,1983,09,09,   17.54,   13.89,   15.59,    3.65
50.25961,4.95191,1983,09,10,   15.26,   10.92,   14.02,    4.35
50.25961,4.95191,1983,09,11,   12.41,    8.20,   10.46,    4.21
50.25961,4.95191,1983,09,12,   11.51,    7.88,    9.61,    3.62
50.25961,4.95191,1983,09,13,   14.18,    7.47,   10.63,    6.71
50.25961,4.95191,1983,09,14,   17.09,   11.50,   13.65,    5.59
50.25961,4.95191,1983,09,15,   19.42,   11.84,   14.93,    7.58
50.25961,4.95191,1983,09,16,   14.91,    8.85,   11.96,    6.06
50.25961,4.95191,1983,09,17,   15.19,    7.91,   11.21,    7.28
50.25961,4.95191,1983,09,18,   16.71,    8.16,   12.34,    8.55
50.25961,4.95191,1983,09,19,   17.46,    9.25,   13.42,    8.20
50.25961,4.95191,1983,09,20,   15.94,    7.93,   11.48,    8.01
50.25961,4.95191,1983,09,21,   16.46,    8.31,   13.18,    8.15
50.25961,4.95191,1983,09,22,   16.33,    7.59,   12.10,    8.74
50.25961,4.95191,1983,09,23,   20.79,    6.60,   13.59,   14.19
50.25961,4.95191,1983,09,24,   24.69,   10.88,   17.13,   13.82
50.25961,4.95191,1983,09,25,   16.40,    7.89,   11.91,    8.51
50.25961,4.95191,1983,09,26,   20.73,    6.69,   14.09,   14.03
50.25961,4.95191,1983,09,27,   22.61,   10.65,   15.81,   11.96
50.25961,4.95191,1983,09,28,   23.44,   10.03,   15.75,   13.40
50.25961,4.95191,1983,09,29,   21.78,    9.45,   15.74,   12.33
50.25961,4.95191,1983,09,30,   19.92,   10.61,   15.03,    9.31
50.25961,4.95191,1983,10,01,   18.15,    8.44,   12.88,    9.71
50.25961,4.95191,1983,10,02,   19.01,   12.51,   15.52,    6.50
50.25961,4.95191,1983,10,03,   20.90,   15.02,   17.03,    5.88
